customer_id,age,income,monthly_income,debt_ratio,revolving_utilization,num_open_credit_lines,num_dependents,num_30_59_days_late,num_60_89_days_late,num_90_days_late,num_mortgages,number_real_estate_loans,default
CUST-000091,20,113730.6,9477.55,0.5101,38.4,0,0,2,0,0,0,0,0
CUST-000092,30,42136.42,3511.37,0.6185,44.8,4,0,0,0,0,0,0,0
CUST-000093,70,6714.6,559.55,0.0827,23.67,5,2,0,0,0,2,2,0
CUST-000094,42,72440.48,6036.71,0.1622,29.21,3,3,0,0,0,1,1,0
CUST-000095,61,55906.93,4658.91,0.1162,54.0,4,1,0,0,0,0,0,0
CUST-000096,33,21266.16,1772.18,0.2542,59.87,3,1,1,1,0,2,2,0
CUST-000097,45,39819.22,3318.27,0.2899,38.75,2,0,0,0,0,1,1,0
CUST-000098,62,43873.22,3656.1,0.0993,43.6,4,3,2,1,1,0,0,1
CUST-000099,54,114995.71,9582.98,0.1788,62.13,2,0,3,0,0,0,0,0
CUST-000100,18,126620.44,10551.7,0.2081,37.37,3,0,0,1,1,0,0,0
CUST-000101,73,53770.78,4480.9,0.315,24.44,2,3,1,1,0,0,0,0
CUST-000102,23,78794.34,6566.2,0.3959,44.82,13,0,1,0,0,3,3,0
CUST-000103,29,29167.39,2430.62,0.0925,23.35,3,2,0,0,0,1,1,0
CUST-000104,67,20961.65,1746.8,0.2283,37.17,4,2,0,1,0,0,0,0
CUST-000105,21,51841.88,4320.16,0.3279,57.33,5,1,2,0,0,0,0,0
CUST-000106,45,66584.12,5548.68,0.2464,33.8,4,0,0,1,0,0,0,0
CUST-000107,35,156357.95,13029.83,0.1016,32.03,3,2,0,0,0,0,0,0
CUST-000108,24,25872.09,2156.01,0.1491,68.55,2,1,1,1,1,0,0,1
CUST-000109,41,18982.8,1581.9,0.5249,67.35,5,3,0,1,0,1,1,0
CUST-000110,74,37983.79,3165.32,0.144,29.6,4,0,0,0,0,0,0,0
CUST-000111,21,43351.66,3612.64,0.3571,63.03,5,1,2,0,1,1,1,1
CUST-000112,58,37077.65,3089.8,0.5149,46.83,4,0,0,0,0,0,0,0
CUST-000113,32,15878.34,1323.19,0.1762,54.4,8,0,0,0,0,2,2,0
CUST-000114,52,31724.89,2643.74,0.3408,43.6,5,2,0,0,0,1,1,0
CUST-000115,67,41988.25,3499.02,0.3342,83.7,3,1,1,1,3,1,1,1
CUST-000116,73,30463.08,2538.59,0.4409,43.25,3,0,0,0,0,0,0,0
CUST-000117,35,16617.36,1384.78,0.3804,47.63,3,0,2,0,0,1,1,1
CUST-000118,52,12552.23,1046.02,0.369,44.06,4,0,0,0,0,0,0,0
CUST-000119,46,45552.89,3796.07,0.056,63.92,3,0,2,1,1,1,1,1
CUST-000120,58,16834.79,1402.9,0.4098,30.0,5,0,2,1,0,3,3,0
CUST-000121,76,24783.12,2065.26,0.0983,30.64,4,1,2,0,1,3,3,0
CUST-000122,74,22566.42,1880.53,0.2424,76.82,2,0,0,0,0,0,0,0
CUST-000123,54,13995.55,1166.3,0.4286,56.4,4,1,2,0,0,0,0,0
CUST-000124,79,78825.55,6568.8,0.346,43.3,1,1,3,0,0,1,1,0
CUST-000125,79,20983.98,1748.66,0.364,70.17,6,0,0,0,2,2,2,1
CUST-000126,29,69874.5,5822.88,0.0743,43.17,3,1,1,2,0,1,1,0
CUST-000127,19,46089.78,3840.82,0.113,34.91,3,0,0,0,0,2,2,0
CUST-000128,52,31714.4,2642.87,0.4454,71.61,4,0,1,0,1,0,0,0
CUST-000129,35,57054.83,4754.57,0.2954,41.47,1,2,1,0,0,0,0,0
CUST-000130,39,46588.01,3882.33,0.2949,51.56,3,2,0,0,0,0,0,0
CUST-000131,63,42264.91,3522.08,0.1968,69.58,1,0,0,0,0,2,2,0
CUST-000132,19,2936.77,244.73,0.1574,54.34,7,0,1,0,0,0,0,0
CUST-000133,40,56759.3,4729.94,0.1868,50.68,1,0,0,1,0,0,0,0
CUST-000134,73,8517.94,709.83,0.2528,72.19,3,2,0,1,0,2,2,0
CUST-000135,52,69606.01,5800.5,0.2661,61.34,5,0,2,1,1,1,1,0
CUST-000136,50,64344.37,5362.03,0.1493,70.54,8,0,2,4,0,1,1,1
CUST-000137,34,32278.91,2689.91,0.4051,16.04,1,1,1,0,0,1,1,0
CUST-000138,60,8869.73,739.14,0.3899,20.04,4,0,0,2,0,0,0,0
CUST-000139,72,43514.42,3626.2,0.3781,49.25,6,1,3,0,1,0,0,0
CUST-000140,44,11706.11,975.51,0.3984,45.17,4,1,0,0,0,1,1,0
CUST-000141,33,38718.24,3226.52,0.049,32.81,4,2,3,2,0,2,2,0
CUST-000142,29,27595.15,2299.6,0.4915,64.98,7,1,0,0,1,1,1,0
CUST-000143,55,70016.03,5834.67,0.3486,48.08,2,2,2,0,0,1,1,0
CUST-000144,45,6665.61,555.47,0.2838,12.98,2,0,1,0,0,0,0,0
CUST-000145,73,17023.5,1418.62,0.0683,62.12,5,0,1,1,0,0,0,1
CUST-000146,42,17166.61,1430.55,0.4232,67.39,4,1,3,1,1,1,1,1
CUST-000147,34,15069.54,1255.79,0.3432,39.81,2,1,1,0,0,1,1,0
CUST-000148,67,14222.68,1185.22,0.1612,56.81,11,0,0,0,0,0,0,0
CUST-000149,57,47509.1,3959.09,0.1159,16.5,4,2,0,0,0,2,2,0
CUST-000150,36,22126.83,1843.9,0.5991,13.91,2,0,0,1,0,4,4,0
CUST-000151,38,153759.41,12813.28,0.1831,53.63,3,4,0,1,0,0,0,0
CUST-000152,26,42632.59,3552.72,0.2891,15.32,4,1,3,0,0,0,0,0
CUST-000153,67,74450.46,6204.2,0.1649,39.17,6,0,0,1,0,0,0,0
CUST-000154,47,37220.02,3101.67,0.0866,73.77,3,0,0,0,0,0,0,1
CUST-000155,40,36148.33,3012.36,0.0939,53.6,4,1,1,1,0,0,0,0
CUST-000156,66,23713.78,1976.15,0.2028,46.72,2,2,0,0,0,1,1,0
CUST-000157,35,103107.16,8592.26,0.0865,30.31,6,2,0,0,0,1,1,0
CUST-000158,50,47571.76,3964.31,0.1351,71.66,5,2,0,0,0,0,0,0
CUST-000159,41,41206.31,3433.86,0.1956,42.05,3,3,2,0,3,0,0,0
CUST-000160,39,79229.98,6602.5,0.0254,27.87,11,0,4,4,2,1,1,1
CUST-000161,64,9733.79,811.15,0.2467,62.37,3,0,1,0,0,0,0,0
CUST-000162,24,19195.55,1599.63,0.3553,64.23,3,0,0,1,1,0,0,1
CUST-000163,73,8730.82,727.57,0.3226,78.67,1,0,1,1,1,1,1,0
CUST-000164,53,34770.39,2897.53,0.3973,75.98,4,1,1,1,0,1,1,1
CUST-000165,36,16174.22,1347.85,0.4775,78.2,2,1,0,0,0,3,3,0
CUST-000166,18,35988.95,2999.08,0.2688,68.65,2,2,0,0,0,1,1,0
CUST-000167,59,257362.84,21446.9,0.4414,62.06,5,0,0,0,3,0,0,0
CUST-000168,27,108373.98,9031.17,0.4419,74.13,4,0,0,1,0,1,1,0
CUST-000169,51,3932.63,327.72,0.3607,60.56,4,1,1,2,0,1,1,1
CUST-000170,26,11829.16,985.76,0.171,41.93,6,0,0,0,1,1,1,0
CUST-000171,60,16589.04,1382.42,0.3141,73.42,3,2,2,0,1,0,0,0
CUST-000172,77,33620.61,2801.72,0.4909,21.39,3,1,1,0,0,0,0,0
CUST-000173,79,15047.91,1253.99,0.0876,85.97,2,1,2,1,2,1,1,1
CUST-000174,47,25605.53,2133.79,0.4528,22.57,5,2,1,0,1,1,1,0
CUST-000175,20,21735.32,1811.28,0.164,20.71,4,1,0,0,1,1,1,0
CUST-000176,52,26771.03,2230.92,0.392,30.02,3,0,1,0,1,0,0,0
CUST-000177,38,36073.21,3006.1,0.2223,14.65,4,1,1,1,0,1,1,0
CUST-000178,50,81294.96,6774.58,0.129,45.17,7,0,0,0,0,0,0,0
CUST-000179,44,38537.8,3211.48,0.0832,21.31,7,2,0,0,0,0,0,0
CUST-000180,38,43987.77,3665.65,0.5089,29.88,3,1,0,0,0,0,0,0
CUST-000181,70,47956.37,3996.36,0.272,28.73,4,0,0,1,0,0,0,0
CUST-000182,61,36025.65,3002.14,0.4202,60.53,6,1,3,1,0,0,0,1
CUST-000183,26,124339.65,10361.64,0.2374,33.96,0,1,0,1,0,2,2,0
CUST-000184,59,66480.05,5540.0,0.2199,76.03,7,1,0,1,0,1,1,0
CUST-000185,59,98803.43,8233.62,0.3994,44.07,3,1,2,1,0,1,1,0
CUST-000186,73,30108.76,2509.06,0.1717,47.81,0,1,0,1,1,2,2,0
CUST-000187,48,25169.24,2097.44,0.4654,65.1,6,0,2,0,0,2,2,0
CUST-000188,21,4915.04,409.59,0.1149,54.58,7,2,2,1,0,0,0,1
CUST-000189,51,39216.22,3268.02,0.0956,68.45,5,0,1,1,0,0,0,0
CUST-000190,42,57753.95,4812.83,0.0885,55.32,4,0,1,0,0,0,0,0
CUST-000191,77,26268.22,2189.02,0.4032,15.4,9,0,2,0,0,1,1,0
CUST-000192,28,63373.67,5281.14,0.1964,69.92,5,0,1,2,2,0,0,1
CUST-000193,67,48269.48,4022.46,0.1965,25.95,3,1,0,1,0,3,3,0
CUST-000194,49,30052.93,2504.41,0.4268,90.54,4,1,1,0,0,2,2,0
CUST-000195,55,217858.77,18154.9,0.4971,79.47,3,2,0,0,0,0,0,0
CUST-000196,25,15663.04,1305.25,0.1491,77.93,6,1,0,0,0,0,0,1
CUST-000197,68,83839.91,6986.66,0.4126,37.22,5,0,2,1,0,1,1,0
CUST-000198,19,20408.8,1700.73,0.1314,52.88,4,2,4,0,0,1,1,0
CUST-000199,37,38594.91,3216.24,0.4398,42.64,4,1,0,0,0,2,2,0
CUST-000200,73,139280.57,11606.71,0.3211,55.13,6,0,0,0,0,2,2,0
CUST-000201,28,6430.06,535.84,0.2318,73.7,2,2,0,1,0,2,2,0
CUST-000202,27,82885.8,6907.15,0.2034,34.37,1,0,1,1,0,1,1,0
CUST-000203,62,25883.07,2156.92,0.2819,35.42,4,0,1,0,0,2,2,0
CUST-000204,63,12163.92,1013.66,0.537,52.6,5,0,1,0,0,1,1,0
CUST-000205,51,38517.63,3209.8,0.1181,51.64,2,0,2,0,2,1,1,1
CUST-000206,27,49254.1,4104.51,0.4362,51.31,5,0,3,0,0,1,1,0
CUST-000207,54,59442.22,4953.52,0.4743,68.26,5,0,0,1,0,2,2,0
CUST-000208,42,35038.19,2919.85,0.189,24.29,3,1,3,0,0,0,0,0
CUST-000209,34,24636.92,2053.08,0.095,34.36,2,1,0,0,1,0,0,0
CUST-000210,57,60979.23,5081.6,0.5445,28.84,3,1,1,0,0,1,1,0
CUST-000211,31,125204.17,10433.68,0.0278,54.92,2,3,1,0,1,0,0,0
CUST-000212,51,55265.95,4605.5,0.075,42.41,2,2,1,0,0,0,0,0
CUST-000213,73,49075.91,4089.66,0.1107,45.44,3,1,0,4,0,0,0,1
CUST-000214,42,19132.15,1594.35,0.1098,24.11,3,0,1,0,0,0,0,0
CUST-000215,33,31047.61,2587.3,0.1536,49.97,1,1,1,1,2,0,0,1
CUST-000216,63,35907.15,2992.26,0.2364,44.38,6,0,1,1,0,0,0,0
CUST-000217,76,35816.72,2984.73,0.1687,66.0,4,0,1,0,0,0,0,0
CUST-000218,45,52289.56,4357.46,0.3139,27.82,3,1,1,1,0,0,0,0
CUST-000219,60,13016.39,1084.7,0.2689,36.58,5,0,3,0,0,0,0,0
CUST-000220,46,14328.81,1194.07,0.2265,49.93,0,1,1,1,1,1,1,1
CUST-000221,54,51625.24,4302.1,0.0116,56.96,4,1,2,1,1,1,1,1
CUST-000222,41,47922.99,3993.58,0.3225,37.8,8,1,0,0,1,0,0,0
CUST-000223,57,129306.84,10775.57,0.0921,43.67,8,0,1,0,1,2,2,0
CUST-000224,53,31812.29,2651.02,0.1567,13.96,4,2,0,0,2,0,0,1
CUST-000225,72,185538.73,15461.56,0.1266,84.63,6,0,0,0,2,0,0,0
CUST-000226,75,47851.86,3987.66,0.3635,29.81,5,0,1,0,1,0,0,0
CUST-000227,58,129802.86,10816.9,0.3005,60.19,6,2,1,0,1,0,0,1
CUST-000228,27,39311.58,3275.96,0.307,40.96,4,2,1,0,0,2,2,0
CUST-000229,78,48611.36,4050.95,0.3899,39.07,3,3,0,0,1,2,2,0
CUST-000230,71,20205.39,1683.78,0.2137,79.84,7,1,0,0,0,0,0,0
CUST-000231,64,24967.8,2080.65,0.5164,72.8,5,2,0,1,0,1,1,1
CUST-000232,18,49702.26,4141.85,0.1626,37.48,7,2,0,0,0,0,0,0
CUST-000233,21,13756.72,1146.39,0.4506,67.6,4,3,2,2,1,3,3,1
CUST-000234,52,12271.7,1022.64,0.1413,42.77,9,0,1,2,0,1,1,1
CUST-000235,32,27619.52,2301.63,0.3189,51.05,2,0,1,2,1,0,0,1
CUST-000236,42,57132.38,4761.03,0.2638,25.06,0,1,0,0,0,0,0,0
CUST-000237,60,134075.68,11172.97,0.338,53.36,8,3,1,0,1,0,0,0
CUST-000238,24,24927.07,2077.26,0.518,40.04,3,2,0,0,0,0,0,0
CUST-000239,40,81392.21,6782.68,0.1975,61.61,1,0,0,0,0,0,0,0
CUST-000240,30,33825.87,2818.82,0.0743,50.08,1,0,0,2,0,1,1,0
CUST-000241,37,50218.57,4184.88,0.111,63.04,4,0,0,1,0,0,0,1
CUST-000242,28,14743.55,1228.63,0.4453,35.69,4,0,2,2,0,2,2,0
CUST-000243,39,95659.04,7971.59,0.4083,28.41,2,0,0,0,0,3,3,0
CUST-000244,27,7524.27,627.02,0.1066,40.31,3,3,1,0,0,3,3,0
CUST-000245,67,24277.86,2023.15,0.1841,30.6,6,1,1,0,0,0,0,0
CUST-000246,55,33520.23,2793.35,0.6388,42.93,2,0,1,1,0,1,1,0
CUST-000247,29,43346.6,3612.22,0.1826,82.79,5,0,1,1,0,0,0,0
CUST-000248,35,20092.79,1674.4,0.3115,16.5,3,3,0,0,1,2,2,1
CUST-000249,18,6296.89,524.74,0.0233,79.63,3,1,0,2,0,0,0,1
CUST-000250,66,28031.94,2335.99,0.1961,24.19,8,0,0,0,1,2,2,0
CUST-000251,40,50817.57,4234.8,0.17,13.66,4,0,0,0,1,3,3,0
CUST-000252,34,77191.24,6432.6,0.1172,58.63,4,0,0,0,0,1,1,0
CUST-000253,40,22869.33,1905.78,0.3693,73.66,2,1,4,2,0,1,1,1
CUST-000254,55,73944.86,6162.07,0.0961,15.21,4,0,1,0,0,0,0,0
CUST-000255,44,12988.95,1082.41,0.2393,84.88,4,0,2,1,0,1,1,1
CUST-000256,66,36525.65,3043.8,0.6099,12.91,3,0,0,1,0,2,2,0
CUST-000257,70,91209.69,7600.81,0.1616,70.15,5,1,0,0,0,1,1,0
CUST-000258,48,177719.9,14809.99,0.1253,62.06,3,0,0,1,1,0,0,0
CUST-000259,74,9288.23,774.02,0.0645,43.86,1,1,0,1,0,1,1,0
CUST-000260,19,49921.33,4160.11,0.0331,11.11,3,1,1,1,0,0,0,0
CUST-000261,55,31441.76,2620.15,0.0976,64.1,12,1,3,2,0,0,0,1
CUST-000262,61,205276.69,17106.39,0.1816,66.07,6,1,0,0,0,1,1,0
CUST-000263,40,176217.77,14684.81,0.2076,67.69,3,3,0,0,0,1,1,0
CUST-000264,25,14653.48,1221.12,0.2753,45.63,4,0,0,0,0,2,2,0
CUST-000265,57,21954.0,1829.5,0.2839,77.2,5,1,1,0,0,1,1,1
CUST-000266,61,41414.47,3451.21,0.2744,94.36,7,1,1,1,0,1,1,0
CUST-000267,40,44398.95,3699.91,0.3668,58.52,11,2,0,0,0,0,0,0
CUST-000268,59,64103.06,5341.92,0.369,72.02,10,2,1,1,0,1,1,0
CUST-000269,68,58584.93,4882.08,0.1833,65.2,1,2,0,0,0,1,1,0
CUST-000270,44,25971.22,2164.27,0.4589,15.56,4,1,1,0,0,0,0,1
CUST-000271,64,25224.82,2102.07,0.3187,19.93,2,1,0,0,0,2,2,0
CUST-000272,33,26040.73,2170.06,0.3684,32.15,4,0,0,0,0,2,2,0
CUST-000273,58,85603.56,7133.63,0.2137,46.02,4,0,0,0,0,0,0,0
CUST-000274,49,101218.04,8434.84,0.5218,49.44,3,0,0,1,0,1,1,0
CUST-000275,77,67802.78,5650.23,0.0775,67.63,9,1,0,2,0,1,1,0
CUST-000276,75,37013.12,3084.43,0.6602,38.89,6,0,0,1,0,0,0,0
CUST-000277,73,52459.45,4371.62,0.3583,43.85,4,1,0,1,0,0,0,1
CUST-000278,40,64769.6,5397.47,0.2199,60.75,4,0,1,2,0,0,0,0
CUST-000279,79,43752.56,3646.05,0.243,34.23,4,2,3,0,0,0,0,0
CUST-000280,45,38993.16,3249.43,0.3956,53.52,6,1,1,1,0,1,1,0
CUST-000281,28,40983.54,3415.29,0.0368,77.57,2,0,1,1,0,0,0,0
CUST-000282,36,59062.51,4921.88,0.5545,34.69,5,0,1,0,0,1,1,0
CUST-000283,18,40234.69,3352.89,0.0813,30.26,3,0,2,0,0,0,0,1
CUST-000284,40,61262.99,5105.25,0.4548,30.5,6,0,1,0,0,0,0,0
CUST-000285,75,38878.59,3239.88,0.4145,50.03,6,0,0,1,4,0,0,1
CUST-000286,50,192947.08,16078.92,0.2418,51.51,5,3,1,0,0,1,1,0
CUST-000287,67,16476.32,1373.03,0.2242,33.38,3,1,1,1,0,0,0,0
CUST-000288,20,15977.86,1331.49,0.209,18.48,3,2,2,0,0,0,0,0
CUST-000289,37,51498.61,4291.55,0.1206,53.24,5,0,2,0,0,0,0,0
CUST-000290,47,37475.01,3122.92,0.2174,50.52,4,1,0,0,0,2,2,0
CUST-000291,34,17743.53,1478.63,0.1404,48.91,5,0,2,0,0,0,0,0
CUST-000292,18,109808.33,9150.69,0.1971,23.25,3,0,1,0,1,0,0,0
CUST-000293,65,11577.85,964.82,0.2787,57.1,7,3,0,0,0,1,1,0
CUST-000294,27,68581.19,5715.1,0.3247,20.53,3,2,0,1,0,1,1,0
CUST-000295,52,71519.77,5959.98,0.3329,26.4,3,1,3,0,0,0,0,0
CUST-000296,47,22285.93,1857.16,0.5471,41.7,4,2,0,2,0,0,0,0
CUST-000297,77,40701.77,3391.81,0.4841,40.68,11,1,1,0,1,0,0,0
CUST-000298,56,64433.34,5369.44,0.5091,33.87,2,2,0,0,0,0,0,0
CUST-000299,24,46304.08,3858.67,0.3461,28.4,6,2,1,0,0,0,0,0
CUST-000300,53,83853.45,6987.79,0.2534,59.4,3,1,3,0,0,2,2,0
CUST-000301,33,56174.52,4681.21,0.3388,57.31,3,0,0,0,0,1,1,0
CUST-000302,24,18501.96,1541.83,0.1219,63.47,2,2,0,2,0,0,0,1
CUST-000303,62,22823.17,1901.93,0.1775,24.11,3,2,0,0,1,0,0,0
CUST-000304,76,55691.92,4640.99,0.5114,60.24,11,1,3,0,2,0,0,1
CUST-000305,75,66187.87,5515.66,0.6495,74.59,2,2,0,1,0,1,1,0
CUST-000306,36,32681.83,2723.49,0.7047,80.58,4,3,3,2,0,1,1,1
CUST-000307,34,76546.48,6378.87,0.1603,63.3,3,1,0,0,0,0,0,0
CUST-000308,73,23264.46,1938.71,0.12,38.01,2,0,1,2,1,1,1,0
CUST-000309,44,18810.23,1567.52,0.2958,18.76,2,1,2,0,1,5,5,1
CUST-000310,24,17420.68,1451.72,0.2721,57.57,2,1,0,2,0,3,3,0
CUST-000311,36,13804.04,1150.34,0.3346,32.42,1,2,0,0,0,0,0,0
CUST-000312,31,30137.93,2511.49,0.2313,74.94,4,0,2,0,0,2,2,0
CUST-000313,25,6897.84,574.82,0.2799,48.43,2,1,0,0,0,1,1,0
CUST-000314,37,50741.01,4228.42,0.4817,31.99,12,0,3,0,1,0,0,0
