transaction_id,transaction_amount,merchant_category,hour_of_day,day_of_week,distance_from_home,is_international,card_age_days,num_transactions_24h,avg_transaction_amount_30d,is_weekend,is_fraud
TXN-00000061,577.74,grocery,13,1,7.14,0,1584,6,46.18,0,1
TXN-00000062,19.09,online_retail,22,5,23.7,1,1025,2,3.83,1,1
TXN-00000063,11.04,online_retail,12,5,1.0,0,625,1,11.24,1,0
TXN-00000064,64.73,jewelry,9,1,0.02,0,833,1,20.73,0,0
TXN-00000065,5.07,electronics,10,3,9.39,0,1561,2,11.72,0,0
TXN-00000066,46.48,gas_station,22,3,31.51,0,98,1,21.11,0,0
TXN-00000067,40.03,education,4,5,2.55,0,63,4,51.66,1,0
TXN-00000068,61.53,hardware,18,6,10.26,0,1711,5,40.92,1,0
TXN-00000069,148.35,travel,9,4,3.31,1,635,1,15.72,0,1
TXN-00000070,249.18,online_retail,17,5,44.75,0,634,1,10.23,1,1
TXN-00000071,35.6,restaurant,23,1,0.53,0,9,4,10.32,0,0
TXN-00000072,13.53,jewelry,14,0,3.06,0,590,0,54.41,0,0
TXN-00000073,113.41,hardware,6,4,53.79,0,1221,6,20.87,0,0
TXN-00000074,44.86,jewelry,9,6,16.85,0,189,3,77.5,1,0
TXN-00000075,48.51,gas_station,5,2,28.0,0,940,5,9.95,0,0
TXN-00000076,13.42,hardware,19,3,10.38,0,200,0,112.62,0,0
TXN-00000077,271.63,education,21,4,13.08,0,789,5,25.15,0,0
TXN-00000078,33.68,online_retail,3,2,13.48,0,1369,1,23.41,0,0
TXN-00000079,14.41,jewelry,4,6,7.02,0,372,1,10.95,1,0
TXN-00000080,35.72,pharmacy,11,6,13.98,0,222,6,30.91,1,0
TXN-00000081,19.73,jewelry,2,5,20.12,0,1691,1,19.12,1,0
TXN-00000082,14.71,travel,17,5,13.23,0,592,4,20.48,1,0
TXN-00000083,36.01,gas_station,20,4,11.24,0,359,4,37.47,0,0
TXN-00000084,3.47,online_retail,3,0,38.25,0,1880,4,26.06,0,1
TXN-00000085,56.71,restaurant,11,5,2.49,0,1906,2,49.05,1,0
TXN-00000086,95.94,hardware,14,0,6.54,0,930,5,35.95,0,0
TXN-00000087,14.09,education,8,0,19.02,0,1589,4,23.84,0,0
TXN-00000088,24.36,hardware,1,2,1.98,0,917,5,17.64,0,0
TXN-00000089,56.41,entertainment,22,3,4.47,0,686,1,7.98,0,0
TXN-00000090,23.03,clothing,15,1,7.95,0,605,6,23.4,0,0
TXN-00000091,20.14,jewelry,10,1,11.97,0,252,2,9.14,0,0
TXN-00000092,18.16,education,20,5,9.41,0,494,1,40.28,1,0
TXN-00000093,48.39,pharmacy,4,6,28.07,0,1084,3,63.44,1,0
TXN-00000094,18.17,travel,0,3,31.43,0,800,5,26.62,0,1
TXN-00000095,11.81,electronics,21,6,17.96,0,1847,5,27.66,1,0
TXN-00000096,38.17,jewelry,14,2,3.89,0,820,2,10.41,0,0
TXN-00000097,187.57,gas_station,3,4,6.99,0,1548,2,70.47,0,0
TXN-00000098,16.38,online_retail,23,4,8.97,0,140,3,7.14,0,1
TXN-00000099,23.76,travel,13,1,19.49,0,1002,3,36.44,0,0
TXN-00000100,146.99,online_retail,11,1,2.33,0,850,5,80.63,0,0
TXN-00000101,8.31,gas_station,21,1,45.58,0,288,2,35.17,0,1
TXN-00000102,13.47,hardware,18,0,13.78,0,70,1,4.58,0,0
TXN-00000103,24.15,jewelry,19,0,23.21,0,186,4,3.84,0,1
TXN-00000104,17.26,entertainment,18,6,0.14,0,238,4,15.66,1,0
TXN-00000105,37.82,gas_station,21,6,21.22,0,1951,2,7.35,1,0
TXN-00000106,11.79,electronics,19,2,0.99,1,1421,3,22.92,0,0
TXN-00000107,13.27,restaurant,9,5,15.94,0,542,2,24.32,1,0
TXN-00000108,22.66,clothing,15,5,9.34,0,344,2,115.24,1,0
TXN-00000109,7.59,online_retail,16,0,3.43,0,428,2,14.58,0,0
TXN-00000110,14.09,gas_station,1,3,8.15,0,715,3,8.15,0,0
TXN-00000111,2.23,electronics,2,1,16.06,0,1704,2,37.31,0,0
TXN-00000112,16.58,restaurant,13,6,11.26,0,1612,4,13.01,1,0
TXN-00000113,65.67,gas_station,4,6,4.43,0,207,3,17.64,1,0
TXN-00000114,26.95,clothing,7,1,10.85,0,902,3,23.79,0,0
TXN-00000115,18.57,travel,17,6,5.7,0,778,6,78.22,1,0
TXN-00000116,51.81,education,13,6,0.49,0,10,1,63.75,1,0
TXN-00000117,2.95,gas_station,11,3,1.95,0,11,4,17.89,0,0
TXN-00000118,45.11,gas_station,23,0,8.09,0,1927,3,40.1,0,0
TXN-00000119,24.5,entertainment,23,5,8.19,0,1214,1,46.7,1,0
TXN-00000120,53.77,pharmacy,7,5,0.49,0,1748,3,24.1,1,0
TXN-00000121,43.58,travel,11,6,5.13,0,1044,2,49.46,1,0
TXN-00000122,54.29,electronics,23,1,12.56,0,162,3,16.1,0,0
TXN-00000123,529.44,entertainment,0,1,5.57,0,1411,0,38.47,0,0
TXN-00000124,50.56,grocery,20,6,5.88,0,312,3,6.13,1,0
TXN-00000125,21.0,travel,6,1,2.74,0,1928,6,38.28,0,0
TXN-00000126,46.97,gas_station,23,3,55.76,0,1409,3,10.29,0,0
TXN-00000127,11.03,gas_station,22,5,0.44,0,1224,2,21.2,1,0
TXN-00000128,6.1,grocery,5,3,1.48,1,99,4,36.99,0,0
TXN-00000129,480.91,entertainment,20,4,10.03,0,1897,3,20.62,0,0
TXN-00000130,52.91,entertainment,7,1,59.37,0,1306,2,19.75,0,0
TXN-00000131,11.68,entertainment,11,3,10.82,0,1039,4,8.06,0,0
TXN-00000132,27.86,entertainment,1,4,8.42,0,1962,1,36.89,0,0
TXN-00000133,20.61,hardware,10,3,26.73,0,1276,5,54.1,0,0
TXN-00000134,7.07,jewelry,11,3,27.59,0,431,4,131.21,0,0
TXN-00000135,20.72,online_retail,4,2,9.94,0,583,3,8.18,0,1
TXN-00000136,41.04,gas_station,7,2,19.61,0,255,1,31.76,0,0
TXN-00000137,77.82,gas_station,10,3,7.74,0,1641,2,4.55,0,0
TXN-00000138,363.95,gas_station,6,2,18.74,0,262,4,19.07,0,0
TXN-00000139,7.23,jewelry,14,3,50.31,0,1779,1,21.41,0,0
TXN-00000140,69.46,jewelry,9,3,28.33,0,1136,1,44.67,0,0
TXN-00000141,10.84,pharmacy,20,0,14.65,0,1779,4,38.13,0,0
TXN-00000142,5.05,pharmacy,1,4,4.76,0,1898,2,46.87,0,0
TXN-00000143,20.69,clothing,3,2,10.82,0,1355,3,6.89,0,0
TXN-00000144,25.43,entertainment,18,4,19.84,0,757,0,55.87,0,0
TXN-00000145,50.14,gas_station,4,6,3.08,0,1038,3,11.16,1,0
TXN-00000146,6.27,pharmacy,20,3,14.94,0,1284,3,10.44,0,0
TXN-00000147,128.92,electronics,11,0,5.96,0,401,4,20.05,0,1
TXN-00000148,36.39,grocery,22,3,4.33,0,804,1,38.94,0,0
TXN-00000149,82.62,restaurant,5,2,13.9,0,1834,1,58.11,0,0
TXN-00000150,12.22,travel,18,4,12.13,0,257,7,41.21,0,0
TXN-00000151,35.31,pharmacy,12,3,23.56,0,1165,5,33.47,0,0
TXN-00000152,81.63,clothing,22,1,22.2,0,1968,2,29.35,0,0
TXN-00000153,46.45,travel,18,4,12.38,0,766,3,32.84,0,0
TXN-00000154,23.65,jewelry,5,6,5.72,0,1424,1,15.95,1,1
TXN-00000155,27.95,electronics,22,6,8.74,0,102,6,6.11,1,1
TXN-00000156,8.55,jewelry,17,0,29.07,0,1271,3,21.52,0,0
TXN-00000157,2.16,education,13,0,60.42,0,282,3,56.7,0,0
TXN-00000158,14.95,grocery,23,0,0.8,0,149,7,50.99,0,0
TXN-00000159,26.38,jewelry,19,5,10.91,0,522,4,31.53,1,0
TXN-00000160,96.68,jewelry,16,4,21.86,0,1819,4,25.95,0,0
TXN-00000161,13.03,travel,16,4,16.54,0,149,1,11.77,0,0
TXN-00000162,19.27,grocery,18,6,14.39,0,945,5,26.48,1,0
TXN-00000163,10.17,electronics,11,3,16.34,0,937,1,6.51,0,1
TXN-00000164,46.0,electronics,18,3,1.1,0,1467,2,23.77,0,0
TXN-00000165,22.98,online_retail,9,2,5.52,0,1519,5,24.39,0,0
TXN-00000166,19.02,clothing,23,0,26.76,0,1980,5,48.83,0,0
TXN-00000167,11.57,education,21,4,6.74,0,1597,4,80.05,0,0
TXN-00000168,16.37,travel,3,3,31.49,0,378,3,41.64,0,1
TXN-00000169,43.71,hardware,6,4,1.45,0,130,0,56.54,0,0
TXN-00000170,6.19,gas_station,10,4,0.59,0,886,1,20.75,0,0
TXN-00000171,21.22,pharmacy,3,6,51.3,0,406,4,76.73,1,0
TXN-00000172,79.03,restaurant,8,3,0.27,0,1423,5,13.11,0,0
TXN-00000173,2.49,gas_station,1,6,11.06,0,447,3,39.74,1,1
TXN-00000174,69.61,travel,22,3,34.31,0,25,3,2.38,0,1
TXN-00000175,0.85,jewelry,10,4,5.35,0,1144,2,60.53,0,0
TXN-00000176,7.92,education,23,0,1.05,0,1466,4,88.53,0,0
TXN-00000177,8.21,clothing,5,4,23.04,0,1237,3,13.44,0,0
TXN-00000178,11.64,electronics,11,5,0.71,0,1507,6,27.98,1,0
TXN-00000179,23.93,online_retail,3,1,0.22,0,1375,2,20.31,0,0
TXN-00000180,37.55,pharmacy,14,2,20.48,0,748,0,86.49,0,0
TXN-00000181,40.64,clothing,19,0,5.38,0,756,0,28.75,0,0
TXN-00000182,12.58,pharmacy,2,0,24.69,1,1565,7,14.4,0,0
TXN-00000183,44.8,clothing,8,0,0.52,0,1975,5,27.87,0,0
TXN-00000184,14.99,travel,10,0,12.87,0,1860,4,3.06,0,0
TXN-00000185,18.66,hardware,23,1,14.04,1,373,3,11.08,0,0
TXN-00000186,100.2,electronics,8,2,15.55,0,1433,4,45.31,0,0
TXN-00000187,133.05,education,5,4,2.05,0,1494,6,33.24,0,0
TXN-00000188,26.91,jewelry,14,2,4.04,0,29,0,7.96,0,1
TXN-00000189,24.19,clothing,0,2,2.59,0,559,2,33.98,0,1
TXN-00000190,8.29,online_retail,18,4,16.22,0,1981,6,26.46,0,0
TXN-00000191,94.16,grocery,22,3,2.25,0,189,0,19.61,0,0
TXN-00000192,177.87,travel,20,2,7.23,0,196,0,50.86,0,1
TXN-00000193,59.58,hardware,10,0,0.43,0,1758,3,25.9,0,0
TXN-00000194,41.75,clothing,8,4,11.4,0,1132,5,29.94,0,0
TXN-00000195,48.57,online_retail,14,2,8.79,0,527,2,11.54,0,0
TXN-00000196,21.39,travel,12,2,20.4,0,517,4,42.18,0,0
TXN-00000197,17.71,pharmacy,2,5,6.85,0,1999,2,232.79,1,0
TXN-00000198,13.65,electronics,7,2,32.14,0,710,2,36.05,0,1
TXN-00000199,68.28,restaurant,15,0,17.05,0,678,4,122.58,0,0
TXN-00000200,79.15,hardware,1,3,6.67,0,738,2,20.65,0,0
TXN-00000201,17.33,education,18,0,1.46,0,758,3,17.33,0,0
TXN-00000202,107.29,clothing,11,0,12.75,0,186,9,27.68,0,0
TXN-00000203,456.25,clothing,15,3,15.47,0,841,2,23.78,0,0
TXN-00000204,11.21,online_retail,7,1,24.14,0,1944,2,6.92,0,0
TXN-00000205,31.01,education,17,6,8.94,0,1897,3,29.88,1,0
TXN-00000206,64.14,entertainment,23,5,18.43,0,158,2,20.67,1,0
TXN-00000207,19.17,hardware,0,6,21.36,0,134,3,15.84,1,0
TXN-00000208,145.81,restaurant,9,2,2.62,0,1653,4,35.07,0,0
TXN-00000209,140.22,education,6,0,1.91,0,1447,2,16.57,0,0
TXN-00000210,1.2,jewelry,13,5,8.75,0,853,4,73.33,1,0
TXN-00000211,60.06,education,16,5,18.18,0,527,3,24.76,1,0
TXN-00000212,61.56,clothing,20,1,1.1,0,1204,2,23.88,0,0
TXN-00000213,36.66,gas_station,23,1,2.62,1,90,3,46.96,0,0
TXN-00000214,26.8,electronics,4,3,15.89,0,248,6,64.55,0,0
TXN-00000215,217.89,hardware,23,3,25.04,0,834,1,17.99,0,1
TXN-00000216,85.34,clothing,2,0,15.51,0,396,2,14.02,0,0
TXN-00000217,29.84,grocery,19,6,49.82,0,1436,7,6.5,1,0
TXN-00000218,11.42,hardware,13,0,3.82,0,99,6,12.27,0,0
TXN-00000219,46.94,hardware,12,6,23.15,0,1746,4,13.52,1,0
TXN-00000220,69.37,hardware,20,0,6.4,0,1446,1,60.77,0,0
TXN-00000221,16.57,electronics,12,6,1.3,0,470,4,6.42,1,0
TXN-00000222,46.14,gas_station,1,6,37.43,0,1846,3,18.16,1,0
TXN-00000223,83.33,jewelry,19,5,1.08,0,555,5,5.29,1,1
TXN-00000224,6.85,electronics,3,0,6.75,0,454,2,24.85,0,0
TXN-00000225,19.69,education,21,0,53.9,0,1805,3,104.92,0,0
TXN-00000226,42.99,restaurant,9,2,5.77,0,25,2,29.48,0,0
TXN-00000227,88.09,jewelry,4,4,11.22,0,640,5,29.94,0,0
TXN-00000228,59.23,clothing,14,4,12.56,0,1356,2,96.1,0,0
TXN-00000229,87.0,electronics,0,4,33.47,0,1115,4,37.89,0,1
TXN-00000230,3.82,electronics,1,5,0.33,0,390,2,37.85,1,0
TXN-00000231,39.43,clothing,15,6,4.02,0,249,1,40.65,1,0
TXN-00000232,54.02,hardware,16,3,27.26,1,914,2,36.59,0,0
TXN-00000233,29.08,education,19,3,38.86,0,986,7,60.76,0,0
TXN-00000234,42.17,pharmacy,13,2,8.08,0,685,1,28.4,0,0
TXN-00000235,52.33,gas_station,10,1,1.43,0,929,5,26.21,0,0
TXN-00000236,48.0,grocery,15,1,30.33,0,1692,5,15.88,0,0
TXN-00000237,29.8,hardware,9,3,16.15,0,492,2,6.46,0,0
TXN-00000238,16.06,online_retail,9,3,5.91,0,944,6,15.77,0,0
TXN-00000239,167.95,electronics,5,5,5.26,0,1343,5,64.45,1,1
TXN-00000240,25.62,education,20,5,4.17,0,1377,5,30.97,1,0
TXN-00000241,9.31,online_retail,5,5,4.6,0,279,2,11.47,1,0
TXN-00000242,56.81,online_retail,8,4,3.43,0,821,2,19.74,0,1
TXN-00000243,15.08,gas_station,13,0,26.44,0,668,3,5.94,0,0
TXN-00000244,145.39,gas_station,18,6,19.17,0,721,2,68.68,1,0
TXN-00000245,7.13,restaurant,1,3,45.76,0,1764,5,10.08,0,0
TXN-00000246,137.47,travel,10,0,12.12,0,1351,3,23.11,0,1
TXN-00000247,27.95,travel,12,0,2.43,0,520,2,6.12,0,0
TXN-00000248,16.4,pharmacy,12,4,5.0,0,1869,3,16.95,0,0
TXN-00000249,20.42,travel,16,5,2.24,0,1541,1,55.46,1,0
TXN-00000250,116.19,hardware,3,0,0.63,1,90,3,40.89,0,0
TXN-00000251,81.47,entertainment,1,6,22.77,0,1911,4,47.49,1,0
TXN-00000252,105.77,clothing,16,2,21.2,0,1286,1,16.93,0,0
TXN-00000253,9.84,clothing,5,5,0.92,0,419,1,24.75,1,0
TXN-00000254,16.58,online_retail,19,2,52.81,0,642,4,19.97,0,0
TXN-00000255,15.3,electronics,9,5,21.97,0,248,1,97.6,1,0
TXN-00000256,46.25,jewelry,5,6,4.36,0,237,2,15.99,1,1
TXN-00000257,84.42,online_retail,7,3,2.84,1,1097,2,22.35,0,0
TXN-00000258,333.42,entertainment,14,3,3.04,0,1973,3,38.22,0,1
TXN-00000259,139.16,jewelry,9,4,43.9,1,1297,4,46.01,0,1
TXN-00000260,27.49,clothing,5,1,1.44,0,1708,1,27.14,0,0
TXN-00000261,11.38,gas_station,14,1,19.76,0,1368,3,25.83,0,0
TXN-00000262,3.62,pharmacy,7,4,3.13,1,172,3,33.69,0,0
TXN-00000263,96.79,travel,19,0,49.03,0,1915,4,34.37,0,1
TXN-00000264,14.94,entertainment,23,6,26.39,0,202,2,7.96,1,1
TXN-00000265,17.38,gas_station,15,1,28.84,0,257,6,116.24,0,0
TXN-00000266,298.02,pharmacy,5,3,12.65,0,122,5,8.33,0,0
TXN-00000267,13.53,hardware,23,5,38.99,0,197,2,17.8,1,0
TXN-00000268,237.74,online_retail,1,5,16.61,0,1501,5,44.88,1,1
TXN-00000269,22.34,electronics,17,4,20.97,0,949,1,116.83,0,0
TXN-00000270,32.04,jewelry,18,2,10.67,0,129,3,55.84,0,0
TXN-00000271,31.92,gas_station,22,4,18.19,0,1529,6,20.98,0,0
TXN-00000272,6.78,hardware,11,3,2.31,0,1235,3,23.4,0,0
TXN-00000273,18.5,hardware,9,4,38.74,0,364,0,66.63,0,0
TXN-00000274,350.5,restaurant,20,0,10.85,0,1813,2,162.04,0,0
TXN-00000275,19.98,clothing,18,3,1.98,0,633,7,13.33,0,0
TXN-00000276,33.65,education,22,1,20.26,0,391,4,36.21,0,0
TXN-00000277,29.52,electronics,17,4,8.18,0,1313,2,18.2,0,0
TXN-00000278,62.02,clothing,7,5,9.3,0,908,2,9.87,1,0
TXN-00000279,18.74,travel,2,4,20.19,0,86,1,19.45,0,1
TXN-00000280,45.05,entertainment,4,3,0.76,0,1992,5,6.17,0,1
TXN-00000281,116.47,electronics,4,3,1.76,1,664,4,53.28,0,0
TXN-00000282,14.91,gas_station,2,0,2.41,0,377,5,45.83,0,0
TXN-00000283,30.42,grocery,12,4,7.8,0,1874,1,64.87,0,0
TXN-00000284,84.39,restaurant,3,4,4.09,1,577,5,29.79,0,0
TXN-00000285,31.46,online_retail,22,5,19.13,0,1833,1,14.9,1,1
TXN-00000286,8.59,entertainment,8,1,13.55,0,1402,2,20.45,0,0
TXN-00000287,20.55,hardware,6,3,8.61,0,1623,3,22.04,0,0
TXN-00000288,13.04,gas_station,2,0,1.25,0,1037,2,42.15,0,0
TXN-00000289,49.83,education,13,4,26.46,0,1838,6,28.27,0,0
TXN-00000290,52.25,online_retail,19,0,20.4,0,203,0,8.21,0,0
TXN-00000291,13.9,grocery,11,5,2.77,0,678,5,55.69,1,0
TXN-00000292,16.64,gas_station,11,2,15.66,0,1067,1,31.7,0,0
TXN-00000293,17.15,hardware,15,0,2.97,0,1257,4,54.68,0,0
TXN-00000294,36.69,education,11,6,0.42,0,958,4,7.67,1,0
TXN-00000295,202.72,online_retail,1,0,9.35,0,1866,2,9.76,0,1
TXN-00000296,11.9,clothing,7,2,11.37,0,25,6,53.14,0,0
TXN-00000297,49.92,grocery,5,3,3.57,0,734,3,16.57,0,0
TXN-00000298,1.22,pharmacy,12,3,67.62,0,1344,2,5.29,0,1
TXN-00000299,104.93,gas_station,11,2,18.28,0,713,4,8.27,0,0
TXN-00000300,20.34,entertainment,16,2,7.23,0,1295,1,40.3,0,0
TXN-00000301,30.78,pharmacy,10,4,43.45,0,21,5,10.94,0,0
TXN-00000302,18.04,travel,10,0,3.76,0,537,1,14.35,0,0
TXN-00000303,83.82,pharmacy,2,0,1.85,1,1384,6,23.86,0,1
TXN-00000304,20.55,education,3,3,2.98,0,1022,3,94.64,0,0
TXN-00000305,5.69,online_retail,15,0,0.32,0,805,4,18.61,0,0
TXN-00000306,15.71,restaurant,13,6,42.05,1,658,2,36.18,1,0
TXN-00000307,34.33,restaurant,8,0,14.08,0,1358,3,15.08,0,0
TXN-00000308,23.69,online_retail,22,1,0.1,0,1804,2,34.5,0,0
TXN-00000309,18.16,grocery,14,2,11.94,0,603,3,11.9,0,0
TXN-00000310,3.56,jewelry,21,1,16.03,0,1864,7,23.75,0,0
TXN-00000311,2.92,electronics,3,4,8.24,0,1632,4,22.37,0,0
TXN-00000312,10.24,pharmacy,11,3,17.59,0,1620,7,14.57,0,0
TXN-00000313,23.55,entertainment,20,5,16.14,0,220,1,18.86,1,0
TXN-00000314,107.16,jewelry,1,6,11.08,0,33,4,11.54,1,1
TXN-00000315,83.65,travel,21,3,4.28,0,451,3,76.47,0,0
TXN-00000316,5.18,restaurant,12,1,35.93,0,585,6,53.51,0,0
TXN-00000317,94.56,grocery,11,3,12.47,0,1674,1,11.42,0,0
TXN-00000318,44.25,restaurant,19,2,19.67,1,514,7,21.22,0,0
TXN-00000319,63.76,grocery,7,1,6.75,1,1612,6,24.78,0,0
TXN-00000320,13.83,clothing,0,3,8.85,0,287,2,7.15,0,0
TXN-00000321,215.6,travel,16,3,0.74,0,731,5,32.51,0,0
TXN-00000322,53.81,hardware,15,1,1.89,0,380,3,56.1,0,0
TXN-00000323,100.71,travel,12,4,0.86,0,553,1,26.86,0,0
TXN-00000324,27.01,online_retail,5,3,8.76,0,1718,2,45.97,0,1
TXN-00000325,30.36,travel,1,1,4.19,0,426,3,26.12,0,0
TXN-00000326,47.98,hardware,8,5,0.28,0,1222,3,18.15,1,0
TXN-00000327,19.82,education,10,5,9.77,0,974,4,6.57,1,0
TXN-00000328,85.1,gas_station,18,6,6.95,1,847,0,5.57,1,0
TXN-00000329,138.37,travel,1,0,17.93,0,307,11,22.16,0,1
TXN-00000330,7.04,restaurant,10,5,20.18,0,1639,6,17.91,1,0
TXN-00000331,35.23,jewelry,17,6,2.66,0,1591,3,11.88,1,0
TXN-00000332,33.71,clothing,7,4,3.42,0,401,4,36.25,0,0
TXN-00000333,65.41,restaurant,23,3,1.69,0,654,1,26.15,0,0
TXN-00000334,64.97,online_retail,15,4,11.05,0,1879,4,22.91,0,0
TXN-00000335,6.78,jewelry,20,1,4.55,0,1866,3,13.56,0,0
TXN-00000336,61.98,grocery,0,5,8.82,0,307,4,13.13,1,0
TXN-00000337,83.34,online_retail,0,0,27.75,0,315,4,29.45,0,0
TXN-00000338,46.46,education,10,0,3.67,0,560,3,84.4,0,0
TXN-00000339,18.75,restaurant,7,5,22.76,0,1871,3,13.71,1,0
TXN-00000340,23.61,clothing,19,3,11.7,0,566,6,17.2,0,0
TXN-00000341,47.64,education,8,5,3.09,0,782,3,8.37,1,1
TXN-00000342,63.77,grocery,8,1,11.47,0,1898,3,11.52,0,0
TXN-00000343,295.85,travel,23,4,0.04,0,825,0,16.75,0,1
TXN-00000344,21.12,jewelry,17,6,18.94,1,927,4,13.48,1,0
TXN-00000345,47.53,hardware,22,6,11.34,0,1240,1,30.39,1,0
TXN-00000346,17.6,gas_station,12,0,40.95,0,749,6,20.73,0,0
TXN-00000347,24.36,education,13,2,10.87,0,1321,4,30.74,0,0
TXN-00000348,28.06,restaurant,21,4,22.03,0,1063,0,107.81,0,0
TXN-00000349,2.01,online_retail,15,2,2.5,1,995,1,8.31,0,1
TXN-00000350,36.96,online_retail,5,5,25.24,0,183,4,6.22,1,0
TXN-00000351,54.64,pharmacy,2,0,1.11,0,792,3,33.83,0,0
TXN-00000352,48.59,entertainment,22,4,54.34,0,290,1,13.4,0,1
TXN-00000353,10.2,education,15,2,15.37,0,175,2,40.53,0,0
TXN-00000354,6.41,jewelry,23,6,17.63,0,1959,2,6.72,1,0
TXN-00000355,4.88,restaurant,4,4,25.37,0,1432,2,4.1,0,0
TXN-00000356,22.65,gas_station,14,2,4.55,0,528,0,10.16,0,0
