tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,Churn
21,91.38,1918.98,Month-to-month,Credit card (automatic),0
13,114.79,1492.27,One year,Mailed check,0
13,91.41,1188.33,One year,Bank transfer (automatic),1
12,89.12,1069.44,Month-to-month,Mailed check,1
12,87.09,1045.08,Month-to-month,Bank transfer (automatic),0
20,103.04,2060.8,One year,Electronic check,1
19,84.78,1610.82,Month-to-month,Credit card (automatic),1
15,98.96,1484.4,Month-to-month,Electronic check,0
16,70.58,1129.28,One year,Bank transfer (automatic),0
24,41.96,1007.04,Month-to-month,Credit card (automatic),1
26,42.97,1117.22,Two year,Electronic check,0
50,108.39,5419.5,Two year,Electronic check,0
18,42.89,772.02,One year,Mailed check,0
24,108.32,2599.68,Month-to-month,Bank transfer (automatic),0
22,70.83,1558.26,Month-to-month,Credit card (automatic),1
14,31.6,442.4,Month-to-month,Credit card (automatic),1
10,114.9,1149.0,Month-to-month,Bank transfer (automatic),0
20,61.53,1230.6,One year,Bank transfer (automatic),0
15,63.91,958.65,Month-to-month,Electronic check,1
57,67.43,3843.51,Two year,Electronic check,0
7,45.71,319.97,Month-to-month,Bank transfer (automatic),1
7,57.07,399.49,Month-to-month,Electronic check,1
10,73.35,733.5,Month-to-month,Mailed check,1
24,77.58,1861.92,Month-to-month,Mailed check,0
48,66.65,3199.2,Two year,Bank transfer (automatic),0
13,72.9,947.7,Month-to-month,Mailed check,0
55,40.38,2220.9,Two year,Credit card (automatic),0
21,99.41,2087.61,Month-to-month,Electronic check,1
63,72.48,4566.24,Two year,Credit card (automatic),0
13,83.56,1086.28,One year,Bank transfer (automatic),1
12,51.39,616.68,Month-to-month,Electronic check,1
8,94.71,757.68,Month-to-month,Credit card (automatic),0
0,94.4,0.0,Month-to-month,Electronic check,1
28,97.69,2735.32,Two year,Electronic check,0
15,103.6,1554.0,One year,Credit card (automatic),0
3,75.52,226.56,Month-to-month,Mailed check,1
14,79.8,1117.2,One year,Bank transfer (automatic),0
14,116.4,1629.6,One year,Bank transfer (automatic),1
21,110.62,2323.02,Month-to-month,Electronic check,1
61,88.44,5394.84,Two year,Electronic check,0
21,79.24,1664.04,Month-to-month,Bank transfer (automatic),1
46,72.34,3327.64,Two year,Credit card (automatic),0
0,104.66,0.0,Month-to-month,Bank transfer (automatic),0
20,108.94,2178.8,Month-to-month,Credit card (automatic),1
16,116.48,1863.68,Month-to-month,Electronic check,1
54,65.42,3532.68,Two year,Mailed check,0
15,102.73,1540.95,One year,Electronic check,1
53,76.12,4034.36,Two year,Electronic check,0
10,36.55,365.5,Month-to-month,Mailed check,1
62,89.52,5550.24,Two year,Electronic check,0
2,42.62,85.24,Month-to-month,Credit card (automatic),1
19,83.88,1593.72,One year,Electronic check,1
38,59.25,2251.5,Two year,Electronic check,0
20,72.15,1443.0,One year,Mailed check,0
23,64.28,1478.44,One year,Electronic check,1
10,30.19,301.9,Month-to-month,Bank transfer (automatic),1
15,93.34,1400.1,One year,Electronic check,1
21,46.87,984.27,One year,Bank transfer (automatic),1
5,48.83,244.15,Month-to-month,Electronic check,1
1,74.44,74.44,Month-to-month,Electronic check,1
15,28.46,426.9,Month-to-month,Credit card (automatic),1
10,36.81,368.1,Month-to-month,Mailed check,1
28,58.87,1648.36,Two year,Mailed check,1
14,100.74,1410.36,One year,Electronic check,0
17,95.97,1631.49,Month-to-month,Electronic check,1
57,56.8,3237.6,Two year,Electronic check,0
13,49.15,638.95,Month-to-month,Bank transfer (automatic),0
24,39.19,940.56,One year,Bank transfer (automatic),0
14,74.3,1040.2,One year,Electronic check,1
15,47.71,715.65,Month-to-month,Bank transfer (automatic),1
19,25.26,479.94,One year,Bank transfer (automatic),0
18,85.44,1537.92,Month-to-month,Credit card (automatic),0
20,33.2,664.0,Month-to-month,Mailed check,1
9,78.69,708.21,Month-to-month,Electronic check,1
53,88.25,4677.25,Two year,Mailed check,0
55,62.65,3445.75,Two year,Mailed check,0
62,43.54,2699.48,Two year,Bank transfer (automatic),0
60,77.89,4673.4,Two year,Credit card (automatic),0
21,22.1,464.1,One year,Credit card (automatic),0
8,36.51,292.08,Month-to-month,Bank transfer (automatic),0
13,65.94,857.22,One year,Mailed check,0
5,51.64,258.2,Month-to-month,Electronic check,1
24,74.11,1778.64,Month-to-month,Credit card (automatic),1
24,59.23,1421.52,Month-to-month,Electronic check,1
58,65.12,3776.96,Two year,Bank transfer (automatic),0
15,81.79,1226.85,Month-to-month,Bank transfer (automatic),0
9,62.69,564.21,Month-to-month,Mailed check,0
19,99.53,1891.07,Month-to-month,Credit card (automatic),0
13,27.51,357.63,Month-to-month,Electronic check,0
31,84.07,2606.17,Two year,Mailed check,1
69,45.89,3166.41,Two year,Electronic check,0
59,32.75,1932.25,Two year,Electronic check,0
14,106.13,1485.82,One year,Bank transfer (automatic),1
56,45.25,2534.0,Two year,Mailed check,1
21,119.89,2517.69,One year,Credit card (automatic),0
11,51.91,571.01,Month-to-month,Mailed check,0
6,118.04,708.24,Month-to-month,Credit card (automatic),1
13,22.45,291.85,Month-to-month,Credit card (automatic),0
18,118.82,2138.76,One year,Credit card (automatic),0
12,30.88,370.56,One year,Electronic check,0
14,28.17,394.38,Month-to-month,Electronic check,0
20,116.94,2338.8,Month-to-month,Electronic check,1
21,88.66,1861.86,One year,Electronic check,0
58,56.76,3292.08,Two year,Credit card (automatic),0
20,21.66,433.2,One year,Bank transfer (automatic),1
15,94.17,1412.55,One year,Credit card (automatic),0
3,63.26,189.78,Month-to-month,Bank transfer (automatic),0
27,47.92,1293.84,Two year,Electronic check,0
18,87.54,1575.72,Month-to-month,Mailed check,1
12,81.21,974.52,Month-to-month,Bank transfer (automatic),1
53,83.07,4402.71,Two year,Electronic check,0
19,109.92,2088.48,One year,Credit card (automatic),0
11,118.74,1306.14,Month-to-month,Mailed check,1
53,104.22,5523.66,Two year,Bank transfer (automatic),0
7,56.9,398.3,Month-to-month,Mailed check,1
0,117.75,0.0,Month-to-month,Bank transfer (automatic),1
21,97.39,2045.19,Month-to-month,Bank transfer (automatic),0
42,97.13,4079.46,Two year,Bank transfer (automatic),0
36,81.33,2927.88,Two year,Electronic check,0
14,82.08,1149.12,One year,Bank transfer (automatic),0
19,21.4,406.6,One year,Electronic check,1
10,94.24,942.4,Month-to-month,Credit card (automatic),1
11,72.15,793.65,Month-to-month,Mailed check,0
54,116.67,6300.18,Two year,Electronic check,1
53,116.22,6159.66,Two year,Credit card (automatic),0
70,86.79,6075.3,Two year,Credit card (automatic),0
29,98.65,2860.85,Two year,Bank transfer (automatic),1
21,94.4,1982.4,Month-to-month,Mailed check,1
11,29.05,319.55,Month-to-month,Bank transfer (automatic),1
17,51.46,874.82,Month-to-month,Credit card (automatic),0
19,110.76,2104.44,One year,Bank transfer (automatic),1
1,49.05,49.05,Month-to-month,Electronic check,1
4,57.64,230.56,Month-to-month,Credit card (automatic),1
58,60.75,3523.5,Two year,Bank transfer (automatic),0
3,103.04,309.12,Month-to-month,Mailed check,1
68,55.79,3793.72,Two year,Electronic check,0
30,118.05,3541.5,Two year,Credit card (automatic),0
27,58.61,1582.47,Two year,Bank transfer (automatic),0
14,27.35,382.9,Month-to-month,Credit card (automatic),1
12,98.25,1179.0,One year,Credit card (automatic),1
2,102.64,205.28,Month-to-month,Bank transfer (automatic),1
15,51.51,772.65,One year,Credit card (automatic),1
33,118.73,3918.09,Two year,Electronic check,0
25,31.44,786.0,Two year,Electronic check,0
12,35.77,429.24,One year,Bank transfer (automatic),1
23,24.48,563.04,One year,Mailed check,0
14,69.39,971.46,Month-to-month,Bank transfer (automatic),0
21,71.19,1494.99,Month-to-month,Credit card (automatic),1
54,104.42,5638.68,Two year,Electronic check,0
14,25.5,357.0,Month-to-month,Bank transfer (automatic),1
16,81.68,1306.88,One year,Electronic check,0
21,72.12,1514.52,One year,Mailed check,0
23,29.67,682.41,One year,Electronic check,0
37,61.87,2289.19,Two year,Bank transfer (automatic),0
12,60.43,725.16,Month-to-month,Credit card (automatic),1
11,115.27,1267.97,Month-to-month,Bank transfer (automatic),1
2,27.51,55.02,Month-to-month,Electronic check,1
20,24.12,482.4,One year,Credit card (automatic),0
18,54.07,973.26,One year,Bank transfer (automatic),0
23,23.25,534.75,One year,Credit card (automatic),0
16,39.7,635.2,Month-to-month,Electronic check,1
17,55.49,943.33,Month-to-month,Electronic check,0
20,117.4,2348.0,One year,Credit card (automatic),0
12,80.12,961.44,One year,Bank transfer (automatic),0
16,89.68,1434.88,One year,Electronic check,1
4,75.76,303.04,Month-to-month,Electronic check,1
0,27.36,0.0,Month-to-month,Bank transfer (automatic),1
5,55.75,278.75,Month-to-month,Mailed check,0
13,108.1,1405.3,One year,Bank transfer (automatic),1
13,45.75,594.75,One year,Electronic check,0
8,39.99,319.92,Month-to-month,Mailed check,1
21,87.21,1831.41,Month-to-month,Electronic check,1
18,118.41,2131.38,One year,Electronic check,1
24,32.0,768.0,Month-to-month,Credit card (automatic),1
23,61.93,1424.39,Month-to-month,Electronic check,1
17,103.0,1751.0,Month-to-month,Electronic check,1
1,62.49,62.49,Month-to-month,Credit card (automatic),1
13,76.49,994.37,Month-to-month,Electronic check,1
0,116.55,0.0,Month-to-month,Electronic check,1
68,111.82,7603.76,Two year,Mailed check,1
61,58.85,3589.85,Two year,Electronic check,1
38,51.97,1974.86,Two year,Bank transfer (automatic),0
16,37.78,604.48,Month-to-month,Electronic check,0
20,101.13,2022.6,Month-to-month,Credit card (automatic),1
19,33.59,638.21,Month-to-month,Electronic check,0
20,68.4,1368.0,Month-to-month,Credit card (automatic),0
21,83.59,1755.39,One year,Mailed check,0
10,33.4,334.0,Month-to-month,Credit card (automatic),1
8,78.32,626.56,Month-to-month,Electronic check,1
1,23.8,23.8,Month-to-month,Mailed check,0
2,80.73,161.46,Month-to-month,Credit card (automatic),1
23,109.38,2515.74,Month-to-month,Bank transfer (automatic),1
44,79.71,3507.24,Two year,Bank transfer (automatic),0
45,118.2,5319.0,Two year,Mailed check,1
23,62.65,1440.95,One year,Electronic check,1
11,111.63,1227.93,Month-to-month,Electronic check,1
12,98.5,1182.0,One year,Bank transfer (automatic),0
21,57.43,1206.03,Month-to-month,Electronic check,1
62,107.07,6638.34,Two year,Credit card (automatic),0
17,49.64,843.88,One year,Electronic check,0
23,113.68,2614.64,One year,Electronic check,1
4,86.35,345.4,Month-to-month,Credit card (automatic),0
20,27.53,550.6,One year,Bank transfer (automatic),0
9,36.39,327.51,Month-to-month,Electronic check,1
38,120.0,4560.0,Two year,Mailed check,1
16,96.63,1546.08,Month-to-month,Credit card (automatic),0
45,107.39,4832.55,Two year,Electronic check,0
14,102.8,1439.2,One year,Electronic check,0
52,22.46,1167.92,Two year,Electronic check,0
21,47.06,988.26,One year,Credit card (automatic),0
9,116.49,1048.41,Month-to-month,Mailed check,1
67,114.61,7678.87,Two year,Electronic check,0
12,69.3,831.6,Month-to-month,Electronic check,1
19,32.12,610.28,Month-to-month,Electronic check,1
20,113.3,2266.0,One year,Credit card (automatic),0
2,95.84,191.68,Month-to-month,Electronic check,1
51,27.35,1394.85,Two year,Electronic check,0
25,60.32,1508.0,Two year,Credit card (automatic),0
2,56.24,112.48,Month-to-month,Mailed check,1
65,52.2,3393.0,Two year,Credit card (automatic),0
15,89.0,1335.0,Month-to-month,Credit card (automatic),1
12,110.4,1324.8,One year,Mailed check,1
23,80.11,1842.53,Month-to-month,Electronic check,1
13,22.87,297.31,One year,Electronic check,1
31,103.34,3203.54,Two year,Mailed check,0
18,42.68,768.24,Month-to-month,Bank transfer (automatic),1
7,76.21,533.47,Month-to-month,Bank transfer (automatic),1
17,24.9,423.3,One year,Mailed check,0
17,20.07,341.19,Month-to-month,Credit card (automatic),0
11,43.87,482.57,Month-to-month,Mailed check,1
23,85.02,1955.46,One year,Electronic check,1
14,22.52,315.28,One year,Bank transfer (automatic),0
67,65.39,4381.13,Two year,Electronic check,0
13,91.04,1183.52,One year,Credit card (automatic),0
6,108.35,650.1,Month-to-month,Electronic check,1
17,66.29,1126.93,Month-to-month,Mailed check,1
24,22.88,549.12,One year,Electronic check,0
13,108.73,1413.49,Month-to-month,Credit card (automatic),0
35,68.61,2401.35,Two year,Mailed check,0
29,92.16,2672.64,Two year,Mailed check,1
20,47.96,959.2,One year,Credit card (automatic),1
14,79.47,1112.58,Month-to-month,Electronic check,1
12,92.14,1105.68,One year,Mailed check,0
22,117.96,2595.12,One year,Mailed check,0
11,70.33,773.63,Month-to-month,Bank transfer (automatic),0
19,87.17,1656.23,Month-to-month,Electronic check,1
20,55.37,1107.4,Month-to-month,Electronic check,1
22,63.89,1405.58,One year,Bank transfer (automatic),0
4,72.0,288.0,Month-to-month,Electronic check,1
13,20.64,268.32,One year,Electronic check,1
3,44.7,134.1,Month-to-month,Credit card (automatic),1
9,88.79,799.11,Month-to-month,Credit card (automatic),0
2,64.11,128.22,Month-to-month,Electronic check,0
21,116.69,2450.49,Month-to-month,Electronic check,0
20,73.3,1466.0,One year,Bank transfer (automatic),0
68,83.05,5647.4,Two year,Bank transfer (automatic),0
6,98.79,592.74,Month-to-month,Electronic check,1
18,55.63,1001.34,Month-to-month,Mailed check,0
13,24.71,321.23,One year,Bank transfer (automatic),0
18,96.45,1736.1,One year,Mailed check,0
20,25.56,511.2,Month-to-month,Credit card (automatic),1
24,74.23,1781.52,Month-to-month,Electronic check,1
20,110.89,2217.8,One year,Electronic check,1
5,34.52,172.6,Month-to-month,Electronic check,0
16,109.28,1748.48,Month-to-month,Credit card (automatic),0
17,45.99,781.83,Month-to-month,Bank transfer (automatic),0
22,35.2,774.4,One year,Electronic check,0
23,110.0,2530.0,Month-to-month,Bank transfer (automatic),1
25,26.28,657.0,Two year,Electronic check,0
15,96.23,1443.45,One year,Electronic check,1
22,73.65,1620.3,One year,Mailed check,0
21,59.42,1247.82,Month-to-month,Electronic check,1
18,67.39,1213.02,One year,Electronic check,1
23,50.57,1163.11,One year,Electronic check,0
24,55.8,1339.2,Month-to-month,Mailed check,1
8,63.86,510.88,Month-to-month,Mailed check,1
19,60.65,1152.35,Month-to-month,Credit card (automatic),0
60,91.56,5493.6,Two year,Credit card (automatic),0
14,68.87,964.18,Month-to-month,Credit card (automatic),1
16,64.64,1034.24,Month-to-month,Credit card (automatic),1
16,68.48,1095.68,One year,Electronic check,0
20,18.83,376.6,One year,Mailed check,1
11,95.91,1055.01,Month-to-month,Electronic check,1
6,54.98,329.88,Month-to-month,Bank transfer (automatic),1
17,46.53,791.01,Month-to-month,Mailed check,0
13,58.18,756.34,One year,Electronic check,0
24,32.72,785.28,Month-to-month,Credit card (automatic),0
1,31.98,31.98,Month-to-month,Electronic check,1
19,109.1,2072.9,Month-to-month,Mailed check,1
49,119.04,5832.96,Two year,Electronic check,0
16,72.3,1156.8,Month-to-month,Electronic check,1
11,51.79,569.69,Month-to-month,Credit card (automatic),1
23,106.95,2459.85,Month-to-month,Electronic check,1
22,97.86,2152.92,One year,Electronic check,0
21,67.01,1407.21,One year,Bank transfer (automatic),0
18,33.07,595.26,One year,Bank transfer (automatic),0
3,37.46,112.38,Month-to-month,Credit card (automatic),1
6,59.86,359.16,Month-to-month,Mailed check,0
71,92.2,6546.2,Two year,Credit card (automatic),0
21,66.79,1402.59,Month-to-month,Bank transfer (automatic),1
58,52.92,3069.36,Two year,Mailed check,0
22,99.97,2199.34,One year,Bank transfer (automatic),1
8,74.92,599.36,Month-to-month,Credit card (automatic),1
42,89.9,3775.8,Two year,Electronic check,0
17,113.24,1925.08,Month-to-month,Mailed check,1
21,73.41,1541.61,Month-to-month,Electronic check,0
24,100.07,2401.68,Month-to-month,Electronic check,1
11,112.25,1234.75,Month-to-month,Bank transfer (automatic),1
20,45.66,913.2,One year,Electronic check,0
23,77.86,1790.78,Month-to-month,Electronic check,1
22,41.75,918.5,One year,Mailed check,1
21,96.62,2029.02,Month-to-month,Mailed check,1
18,84.6,1522.8,One year,Credit card (automatic),0
24,116.32,2791.68,Month-to-month,Bank transfer (automatic),1
13,84.53,1098.89,One year,Credit card (automatic),1
12,111.15,1333.8,One year,Credit card (automatic),1
26,119.71,3112.46,Two year,Electronic check,1
9,107.43,966.87,Month-to-month,Credit card (automatic),1
17,47.03,799.51,One year,Electronic check,0
4,104.81,419.24,Month-to-month,Mailed check,1
5,92.57,462.85,Month-to-month,Electronic check,1
17,98.66,1677.22,One year,Electronic check,1
22,109.5,2409.0,One year,Electronic check,0
21,27.73,582.33,Month-to-month,Electronic check,0
0,44.6,0.0,Month-to-month,Credit card (automatic),1
16,77.41,1238.56,One year,Credit card (automatic),0
7,24.34,170.38,Month-to-month,Mailed check,1
16,112.16,1794.56,Month-to-month,Mailed check,0
22,111.45,2451.9,One year,Bank transfer (automatic),1
14,66.77,934.78,One year,Electronic check,1
68,74.02,5033.36,Two year,Mailed check,0
6,95.71,574.26,Month-to-month,Bank transfer (automatic),1
20,63.57,1271.4,One year,Credit card (automatic),0
1,102.53,102.53,Month-to-month,Bank transfer (automatic),0
5,51.47,257.35,Month-to-month,Mailed check,1
18,67.86,1221.48,Month-to-month,Electronic check,0
4,70.35,281.4,Month-to-month,Electronic check,1
9,91.77,825.93,Month-to-month,Mailed check,1
61,25.45,1552.45,Two year,Bank transfer (automatic),0
12,113.33,1359.96,One year,Mailed check,1
50,36.36,1818.0,Two year,Electronic check,1
18,56.2,1011.6,One year,Bank transfer (automatic),0
12,56.32,675.84,Month-to-month,Credit card (automatic),0
22,105.75,2326.5,One year,Mailed check,1
32,92.24,2951.68,Two year,Mailed check,1
9,65.23,587.07,Month-to-month,Electronic check,1
7,43.25,302.75,Month-to-month,Mailed check,1
23,96.08,2209.84,Month-to-month,Credit card (automatic),1
12,42.55,510.6,One year,Bank transfer (automatic),1
22,89.74,1974.28,One year,Mailed check,1
15,73.06,1095.9,One year,Mailed check,0
16,41.88,670.08,One year,Electronic check,0
24,86.6,2078.4,One year,Bank transfer (automatic),0
21,71.17,1494.57,Month-to-month,Electronic check,1
18,107.73,1939.14,Month-to-month,Bank transfer (automatic),0
19,22.78,432.82,One year,Mailed check,0
20,50.51,1010.2,One year,Mailed check,0
24,72.87,1748.88,Month-to-month,Mailed check,1
4,100.19,400.76,Month-to-month,Credit card (automatic),0
20,72.06,1441.2,One year,Credit card (automatic),0
2,112.07,224.14,Month-to-month,Electronic check,1
6,23.26,139.56,Month-to-month,Bank transfer (automatic),1
13,37.19,483.47,One year,Electronic check,0
19,39.31,746.89,One year,Bank transfer (automatic),0
6,113.59,681.54,Month-to-month,Credit card (automatic),0
15,111.27,1669.05,Month-to-month,Credit card (automatic),0
15,74.31,1114.65,One year,Mailed check,0
11,49.46,544.06,Month-to-month,Mailed check,1
70,65.89,4612.3,Two year,Mailed check,0
50,22.66,1133.0,Two year,Mailed check,0
20,113.35,2267.0,One year,Electronic check,1
10,41.46,414.6,Month-to-month,Electronic check,1
21,52.43,1101.03,Month-to-month,Bank transfer (automatic),0
23,68.04,1564.92,Month-to-month,Bank transfer (automatic),1
70,73.75,5162.5,Two year,Electronic check,1
27,71.44,1928.88,Two year,Credit card (automatic),0
1,95.96,95.96,Month-to-month,Credit card (automatic),1
69,33.41,2305.29,Two year,Electronic check,0
20,86.01,1720.2,Month-to-month,Electronic check,1
0,72.29,0.0,Month-to-month,Mailed check,1
17,117.7,2000.9,Month-to-month,Bank transfer (automatic),1
35,28.92,1012.2,Two year,Bank transfer (automatic),0
16,43.75,700.0,Month-to-month,Electronic check,1
49,64.82,3176.18,Two year,Electronic check,0
13,84.68,1100.84,One year,Electronic check,0
18,56.47,1016.46,One year,Electronic check,0
13,68.99,896.87,One year,Bank transfer (automatic),0
13,109.27,1420.51,One year,Bank transfer (automatic),0
22,108.53,2387.66,Month-to-month,Credit card (automatic),1
8,109.73,877.84,Month-to-month,Electronic check,1
10,19.6,196.0,Month-to-month,Credit card (automatic),1
12,112.75,1353.0,Month-to-month,Credit card (automatic),1
18,87.06,1567.08,One year,Bank transfer (automatic),0
22,91.86,2020.92,Month-to-month,Bank transfer (automatic),1
51,41.68,2125.68,Two year,Electronic check,1
21,58.46,1227.66,One year,Bank transfer (automatic),0
14,68.04,952.56,Month-to-month,Electronic check,1
67,77.76,5209.92,Two year,Mailed check,0
15,90.74,1361.1,One year,Electronic check,1
20,33.74,674.8,Month-to-month,Bank transfer (automatic),1
9,63.36,570.24,Month-to-month,Electronic check,1
13,63.78,829.14,Month-to-month,Electronic check,1
11,74.53,819.83,Month-to-month,Electronic check,1
12,47.77,573.24,One year,Credit card (automatic),0
7,76.34,534.38,Month-to-month,Credit card (automatic),1
9,45.38,408.42,Month-to-month,Electronic check,1
9,67.39,606.51,Month-to-month,Electronic check,1
20,68.57,1371.4,Month-to-month,Electronic check,1
0,114.78,0.0,Month-to-month,Electronic check,1
17,62.9,1069.3,One year,Credit card (automatic),0
62,31.88,1976.56,Two year,Bank transfer (automatic),0
44,36.12,1589.28,Two year,Electronic check,0
20,68.08,1361.6,Month-to-month,Bank transfer (automatic),0
12,55.23,662.76,Month-to-month,Mailed check,0
5,87.53,437.65,Month-to-month,Credit card (automatic),1
69,39.38,2717.22,Two year,Mailed check,0
50,86.64,4332.0,Two year,Electronic check,1
4,90.95,363.8,Month-to-month,Electronic check,1
15,77.39,1160.85,Month-to-month,Credit card (automatic),1
50,73.45,3672.5,Two year,Credit card (automatic),0
17,78.57,1335.69,Month-to-month,Credit card (automatic),0
21,54.21,1138.41,Month-to-month,Electronic check,1
21,83.97,1763.37,Month-to-month,Credit card (automatic),0
3,19.08,57.24,Month-to-month,Credit card (automatic),1
18,88.14,1586.52,Month-to-month,Mailed check,1
21,78.04,1638.84,Month-to-month,Mailed check,1
3,48.13,144.39,Month-to-month,Electronic check,0
23,32.45,746.35,Month-to-month,Credit card (automatic),1
15,53.53,802.95,Month-to-month,Electronic check,1
13,48.63,632.19,One year,Mailed check,0
20,29.15,583.0,Month-to-month,Credit card (automatic),0
57,35.79,2040.03,Two year,Bank transfer (automatic),0
15,99.37,1490.55,One year,Credit card (automatic),0
12,20.98,251.76,Month-to-month,Bank transfer (automatic),0
12,18.45,221.4,Month-to-month,Bank transfer (automatic),1
2,76.89,153.78,Month-to-month,Bank transfer (automatic),0
6,64.67,388.02,Month-to-month,Mailed check,1
64,49.97,3198.08,Two year,Mailed check,0
11,104.24,1146.64,Month-to-month,Electronic check,1
43,111.71,4803.53,Two year,Bank transfer (automatic),0
15,49.15,737.25,One year,Electronic check,1
18,78.84,1419.12,One year,Mailed check,0
17,88.73,1508.41,Month-to-month,Mailed check,1
55,47.46,2610.3,Two year,Bank transfer (automatic),0
46,115.09,5294.14,Two year,Bank transfer (automatic),0
17,69.55,1182.35,Month-to-month,Mailed check,1
19,67.85,1289.15,One year,Mailed check,1
9,21.33,191.97,Month-to-month,Bank transfer (automatic),1
18,93.74,1687.32,Month-to-month,Credit card (automatic),0
3,45.32,135.96,Month-to-month,Electronic check,1
72,22.24,1601.28,Two year,Mailed check,0
3,93.07,279.21,Month-to-month,Credit card (automatic),1
1,63.87,63.87,Month-to-month,Credit card (automatic),1
31,97.11,3010.41,Two year,Mailed check,1
46,105.83,4868.18,Two year,Bank transfer (automatic),0
6,100.98,605.88,Month-to-month,Bank transfer (automatic),0
21,72.95,1531.95,One year,Mailed check,1
16,115.14,1842.24,One year,Electronic check,1
32,116.2,3718.4,Two year,Credit card (automatic),0
65,30.94,2011.1,Two year,Credit card (automatic),0
7,95.67,669.69,Month-to-month,Bank transfer (automatic),1
8,82.04,656.32,Month-to-month,Bank transfer (automatic),1
